--------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  D:\Program Files\Stata15\frequencia_cnae.txt
  log type:  text
 opened on:  19 Feb 2025, 17:13:31

. 
end of do-file

. do "C:\Users\Miguel\AppData\Local\Temp\STD4360_000000.tmp"

. tabulate cnae20subclasse, sort

   CNAE 2.0 |
  Subclasse |      Freq.     Percent        Cum.
------------+-----------------------------------
    4541203 |      6,276        0.04       91.13
    2710401 |      6,273        0.04       91.17
    7490199 |      6,258        0.04       91.21
    6021700 |      6,227        0.04       91.26
    4687701 |      6,191        0.04       91.30
    4755503 |      6,185        0.04       91.34
    4391600 |      6,159        0.04       91.38
    9609208 |      6,141        0.04       91.42
    4619200 |      6,130        0.04       91.46
    4329199 |      6,100        0.04       91.50
    4673700 |      6,035        0.04       91.54
    1323500 |      6,009        0.04       91.59
    1931400 |      5,979        0.04       91.63
    4221903 |      5,962        0.04       91.67
    2944100 |      5,818        0.04       91.70
     119903 |      5,790        0.04       91.74
    6810201 |      5,789        0.04       91.78
    4755501 |      5,774        0.04       91.82
    4221904 |      5,721        0.04       91.86
    3291400 |      5,680        0.04       91.90
    2349499 |      5,643        0.04       91.94
    9412099 |      5,639        0.04       91.97
     113000 |      5,569        0.04       92.01
    4623109 |      5,465        0.04       92.05
    2812700 |      5,460        0.04       92.09
    8533300 |      5,420        0.04       92.12
    4520007 |      5,392        0.04       92.16
    2632900 |      5,337        0.04       92.19
    4330403 |      5,337        0.04       92.23
     155501 |      5,317        0.04       92.27
    4520006 |      5,308        0.04       92.30
    3812200 |      5,259        0.04       92.34
    9601703 |      5,241        0.04       92.37
    4685100 |      5,216        0.04       92.41
    8292000 |      5,181        0.03       92.44
    1313800 |      5,175        0.03       92.48
    2759799 |      5,090        0.03       92.51
    7319003 |      5,051        0.03       92.54
    9521500 |      5,048        0.03       92.58
    1610204 |      5,037        0.03       92.61
    3299003 |      5,036        0.03       92.65
    1749400 |      5,018        0.03       92.68
    2861500 |      4,982        0.03       92.71
    2550102 |      4,949        0.03       92.75
    1065101 |      4,948        0.03       92.78
    9609299 |      4,932        0.03       92.81
    4330402 |      4,931        0.03       92.85
    4684299 |      4,916        0.03       92.88
    4759801 |      4,874        0.03       92.91
    4221901 |      4,869        0.03       92.95
    4651601 |      4,862        0.03       92.98
     810006 |      4,857        0.03       93.01
    3092000 |      4,834        0.03       93.04
    1710900 |      4,824        0.03       93.08
    4530702 |      4,822        0.03       93.11
    4911600 |      4,805        0.03       93.14
    2942500 |      4,711        0.03       93.17
    8650099 |      4,681        0.03       93.20
    6424702 |      4,674        0.03       93.24
    2061400 |      4,646        0.03       93.27
     133499 |      4,620        0.03       93.30
    1099605 |      4,617        0.03       93.33
    8122200 |      4,605        0.03       93.36
    3103900 |      4,598        0.03       93.39
    3250701 |      4,597        0.03       93.42
    3299099 |      4,581        0.03       93.45
    4520003 |      4,581        0.03       93.48
    2311700 |      4,577        0.03       93.51
    4520004 |      4,487        0.03       93.54
    3250706 |      4,466        0.03       93.57
    2722801 |      4,442        0.03       93.60
    6619399 |      4,405        0.03       93.63
    2732500 |      4,392        0.03       93.66
    5914600 |      4,364        0.03       93.69
    5229002 |      4,360        0.03       93.72
    1032599 |      4,333        0.03       93.75
    4754702 |      4,316        0.03       93.78
    4682600 |      4,315        0.03       93.81
    9512600 |      4,291        0.03       93.84
    3839499 |      4,248        0.03       93.87
    4623106 |      4,234        0.03       93.90
    4329103 |      4,200        0.03       93.92
    8640203 |      4,192        0.03       93.95
    4635499 |      4,160        0.03       93.98
    8720499 |      4,158        0.03       94.01
    8425600 |      4,139        0.03       94.04
    2599302 |      4,126        0.03       94.06
    2592602 |      4,110        0.03       94.09
     131800 |      4,063        0.03       94.12
    3839401 |      4,058        0.03       94.15
     210106 |      4,044        0.03       94.17
    4645103 |      4,039        0.03       94.20
    8630599 |      4,038        0.03       94.23
    1095300 |      4,012        0.03       94.25
    1732000 |      3,957        0.03       94.28
    2521700 |      3,949        0.03       94.31
    4642702 |      3,924        0.03       94.33
    2062200 |      3,919        0.03       94.36
