----------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\Miguel\Desktop\Trabalho do Tillmann\frequencia_cbo.txt
  log type:  text
 opened on:   8 Feb 2025, 21:35:31

. 
end of do-file

. do "C:\Users\Miguel\AppData\Local\Temp\STD1930_000000.tmp"

. tabulate cboocupação2002, sort

        CBO |
   Ocupação |
       2002 |      Freq.     Percent        Cum.
------------+-----------------------------------
     766205 |      5,404        0.04       88.94
     231310 |      5,400        0.04       88.97
     372205 |      5,332        0.04       89.01
     311105 |      5,323        0.04       89.04
     251215 |      5,321        0.04       89.08
     724435 |      5,318        0.04       89.12
     234616 |      5,304        0.04       89.15
     516215 |      5,279        0.04       89.19
     513615 |      5,269        0.04       89.22
     951320 |      5,217        0.04       89.26
     760310 |      5,207        0.04       89.29
     951315 |      5,163        0.03       89.33
     515330 |      5,135        0.03       89.36
     731120 |      5,133        0.03       89.40
     313315 |      5,125        0.03       89.43
     322130 |      5,120        0.03       89.47
     351105 |      5,090        0.03       89.50
     517230 |      5,086        0.03       89.53
     848315 |      5,082        0.03       89.57
     377110 |      5,067        0.03       89.60
     233215 |      5,062        0.03       89.64
     410235 |      4,980        0.03       89.67
     517210 |      4,967        0.03       89.70
     334115 |      4,948        0.03       89.74
     223810 |      4,919        0.03       89.77
     519210 |      4,917        0.03       89.80
     520105 |      4,912        0.03       89.84
     412110 |      4,891        0.03       89.87
     313115 |      4,885        0.03       89.90
     763310 |      4,868        0.03       89.93
     519315 |      4,837        0.03       89.97
     620105 |      4,820        0.03       90.00
      21205 |      4,816        0.03       90.03
     318805 |      4,809        0.03       90.06
     723320 |      4,804        0.03       90.10
     411045 |      4,803        0.03       90.13
     301110 |      4,765        0.03       90.16
     142405 |      4,751        0.03       90.19
     725310 |      4,727        0.03       90.22
     142605 |      4,718        0.03       90.26
     234810 |      4,708        0.03       90.29
     813115 |      4,707        0.03       90.32
     515135 |      4,697        0.03       90.35
     513415 |      4,677        0.03       90.38
     313120 |      4,670        0.03       90.41
     823320 |      4,653        0.03       90.45
     254410 |      4,573        0.03       90.48
     715110 |      4,543        0.03       90.51
     421205 |      4,513        0.03       90.54
     761309 |      4,492        0.03       90.57
     811775 |      4,483        0.03       90.60
     252715 |      4,481        0.03       90.63
     761330 |      4,434        0.03       90.66
     623115 |      4,433        0.03       90.69
     782320 |      4,431        0.03       90.72
     764120 |      4,428        0.03       90.75
     715405 |      4,409        0.03       90.78
     322405 |      4,406        0.03       90.81
     782115 |      4,360        0.03       90.84
     991305 |      4,348        0.03       90.87
     252525 |      4,328        0.03       90.89
     716510 |      4,327        0.03       90.92
     142520 |      4,321        0.03       90.95
     722205 |      4,289        0.03       90.98
     261715 |      4,262        0.03       91.01
     234510 |      4,255        0.03       91.04
     622015 |      4,237        0.03       91.07
     239215 |      4,208        0.03       91.10
     352205 |      4,179        0.03       91.12
     231335 |      4,168        0.03       91.15
     832125 |      4,166        0.03       91.18
     760405 |      4,152        0.03       91.21
     818105 |      4,098        0.03       91.24
     251225 |      4,033        0.03       91.26
     142210 |      4,010        0.03       91.29
     764105 |      4,000        0.03       91.32
     731125 |      3,983        0.03       91.34
     515140 |      3,979        0.03       91.37
     622005 |      3,978        0.03       91.40
     632215 |      3,924        0.03       91.42
     391105 |      3,916        0.03       91.45
     111220 |      3,880        0.03       91.48
     141605 |      3,867        0.03       91.50
     516505 |      3,867        0.03       91.53
     233225 |      3,854        0.03       91.55
     715140 |      3,830        0.03       91.58
     725705 |      3,811        0.03       91.61
     253115 |      3,794        0.03       91.63
     414205 |      3,782        0.03       91.66
     515325 |      3,734        0.03       91.68
     214905 |      3,724        0.03       91.71
     517220 |      3,722        0.03       91.73
     821405 |      3,710        0.02       91.76
     391130 |      3,709        0.02       91.78
     811760 |      3,703        0.02       91.81
     515225 |      3,701        0.02       91.83
     342110 |      3,662        0.02       91.86
     724415 |      3,659        0.02       91.88
     622115 |      3,646        0.02       91.90
     919205 |      3,631        0.02       91.93
     512105 |      3,618        0.02       91.95
     318510 |      3,614        0.02       91.98
     782505 |      3,589        0.02       92.00
     516310 |      3,583        0.02       92.03
     203210 |      3,581        0.02       92.05
     782205 |      3,573        0.02       92.07
     523110 |      3,572        0.02       92.10
     784120 |      3,571        0.02       92.12
     911120 |      3,570        0.02       92.15
     720215 |      3,566        0.02       92.17
     141305 |      3,565        0.02       92.19
     513605 |      3,557        0.02       92.22
     911320 |      3,556        0.02       92.24
     991315 |      3,539        0.02       92.27
     841468 |      3,538        0.02       92.29
     232110 |      3,512        0.02       92.31
     141515 |      3,498        0.02       92.34
     515110 |      3,478        0.02       92.36
     721410 |      3,465        0.02       92.38
     764210 |      3,461        0.02       92.41
     253110 |      3,452        0.02       92.43
     422335 |      3,452        0.02       92.45
     232105 |      3,445        0.02       92.48
     810205 |      3,443        0.02       92.50
     314115 |      3,426        0.02       92.52
     513220 |      3,396        0.02       92.55
     314120 |      3,382        0.02       92.57
     773110 |      3,376        0.02       92.59
     351420 |      3,359        0.02       92.61
     519910 |      3,352        0.02       92.64
     516220 |      3,351        0.02       92.66
     422320 |      3,345        0.02       92.68
     142510 |      3,344        0.02       92.70
     253405 |      3,334        0.02       92.73
     623020 |      3,333        0.02       92.75
     731150 |      3,319        0.02       92.77
     519310 |      3,304        0.02       92.79
     342305 |      3,291        0.02       92.82
     318505 |      3,270        0.02       92.84
     516305 |      3,266        0.02       92.86
     623315 |      3,255        0.02       92.88
     354210 |      3,253        0.02       92.90
     811715 |      3,229        0.02       92.93
     141420 |      3,226        0.02       92.95
     322420 |      3,224        0.02       92.97
     251530 |      3,192        0.02       92.99
     517110 |      3,176        0.02       93.01
     763325 |      3,171        0.02       93.03
     622315 |      3,168        0.02       93.05
     131305 |      3,162        0.02       93.08
     251505 |      3,158        0.02       93.10
     232165 |      3,144        0.02       93.12
     766305 |      3,141        0.02       93.14
     519320 |      3,138        0.02       93.16
     519905 |      3,135        0.02       93.18
     821440 |      3,135        0.02       93.20
     841456 |      3,125        0.02       93.22
     515310 |      3,109        0.02       93.24
     214305 |      3,108        0.02       93.27
     841115 |      3,076        0.02       93.29
     252705 |      3,058        0.02       93.31
     318605 |      3,038        0.02       93.33
     766120 |      3,031        0.02       93.35
     821445 |      3,016        0.02       93.37
     311715 |      3,013        0.02       93.39
     354815 |      3,011        0.02       93.41
     254105 |      2,977        0.02       93.43
     311110 |      2,976        0.02       93.45
     214405 |      2,958        0.02       93.47
     766215 |      2,954        0.02       93.49
     131210 |      2,953        0.02       93.51
     420125 |      2,902        0.02       93.53
     730105 |      2,895        0.02       93.55
     913120 |      2,868        0.02       93.57
     761327 |      2,865        0.02       93.59
     141405 |      2,861        0.02       93.60
     232130 |      2,846        0.02       93.62
     641005 |      2,845        0.02       93.64
     723215 |      2,833        0.02       93.66
     763015 |      2,833        0.02       93.68
     510310 |      2,812        0.02       93.70
     766235 |      2,810        0.02       93.72
     732110 |      2,807        0.02       93.74
     224125 |      2,786        0.02       93.76
     519305 |      2,773        0.02       93.78
     773340 |      2,755        0.02       93.79
     724325 |      2,741        0.02       93.81
     325105 |      2,740        0.02       93.83
     214105 |      2,735        0.02       93.85
     711210 |      2,689        0.02       93.87
     620110 |      2,675        0.02       93.89
     950105 |      2,667        0.02       93.90
     715410 |      2,665        0.02       93.92
     914415 |      2,659        0.02       93.94
     811745 |      2,633        0.02       93.96
     318810 |      2,630        0.02       93.97
     761230 |      2,625        0.02       93.99
     322245 |      2,622        0.02       94.01
     317115 |      2,612        0.02       94.03
     325205 |      2,612        0.02       94.04
     212415 |      2,609        0.02       94.06
     212430 |      2,590        0.02       94.08
     811750 |      2,590        0.02       94.10
     731170 |      2,562        0.02       94.11
     991310 |      2,559        0.02       94.13
     354820 |      2,552        0.02       94.15
     142530 |      2,542        0.02       94.17
     342105 |      2,533        0.02       94.18
     373105 |      2,520        0.02       94.20
     515120 |      2,501        0.02       94.22
     371105 |      2,453        0.02       94.23
     415210 |      2,400        0.02       94.25
     318405 |      2,391        0.02       94.27
     214915 |      2,390        0.02       94.28
     782130 |      2,386        0.02       94.30
     261205 |      2,376        0.02       94.31
     231325 |      2,370        0.02       94.33
     318005 |      2,364        0.02       94.35
     314405 |      2,363        0.02       94.36
     950110 |      2,353        0.02       94.38
     262425 |      2,336        0.02       94.39
     841815 |      2,326        0.02       94.41
     141115 |      2,319        0.02       94.42
