---------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\Miguel\Desktop\Trabalho do Tillmann
> \frequencia_cbo.txt
  log type:  text
 opened on:  25 Jan 2025, 16:16:16

. 
. * Executar o comando
. tabulate cboocupação2002, sort

        CBO |
   Ocupação |
       2002 |      Freq.     Percent        Cum.
------------+-----------------------------------
     111325 |        948        0.02       94.45
     731325 |        947        0.02       94.47
     515120 |        939        0.02       94.49
     763305 |        939        0.02       94.50
     783230 |        936        0.02       94.52
     950305 |        936        0.02       94.53
     351420 |        931        0.02       94.55
     254105 |        925        0.02       94.56
     513220 |        922        0.02       94.58
     313305 |        921        0.02       94.60
     223905 |        918        0.02       94.61
     642010 |        917        0.02       94.63
     234405 |        915        0.02       94.64
     510105 |        915        0.02       94.66
     142325 |        914        0.02       94.67
     773105 |        913        0.02       94.69
     313505 |        905        0.02       94.70
     715410 |        900        0.02       94.72
     300105 |        894        0.02       94.73
     421305 |        894        0.02       94.75
     712120 |        892        0.01       94.76
     261215 |        890        0.01       94.78
     212415 |        888        0.01       94.79
     523105 |        888        0.01       94.81
     950110 |        887        0.01       94.82
     711230 |        882        0.01       94.84
     841105 |        882        0.01       94.85
     318505 |        879        0.01       94.87
     811745 |        865        0.01       94.88
     371105 |        861        0.01       94.90
     724325 |        858        0.01       94.91
     261120 |        856        0.01       94.93
     620110 |        850        0.01       94.94
     519305 |        849        0.01       94.95
     782130 |        848        0.01       94.97
     421120 |        847        0.01       94.98
     342105 |        846        0.01       95.00
     351715 |        844        0.01       95.01
     773340 |        841        0.01       95.02
     214910 |        839        0.01       95.04
     311505 |        837        0.01       95.05
     234310 |        834        0.01       95.07
     919310 |        834        0.01       95.08
     715705 |        833        0.01       95.09
     723310 |        833        0.01       95.11
     510135 |        831        0.01       95.12
     720215 |        831        0.01       95.14
     841460 |        831        0.01       95.15
     420110 |        827        0.01       95.16
     764205 |        826        0.01       95.18
     252705 |        825        0.01       95.19
     214915 |        822        0.01       95.21
     914410 |        820        0.01       95.22
     773115 |        818        0.01       95.23
     766305 |        816        0.01       95.25
     322215 |        812        0.01       95.26
     810205 |        809        0.01       95.27
     511205 |        806        0.01       95.29
     516220 |        806        0.01       95.30
     516110 |        802        0.01       95.32
     224105 |        801        0.01       95.33
     239430 |        800        0.01       95.34
     318005 |        800        0.01       95.36
     232170 |        797        0.01       95.37
     833120 |        796        0.01       95.38
     761327 |        795        0.01       95.40
     715145 |        790        0.01       95.41
     642005 |        788        0.01       95.42
     782110 |        781        0.01       95.44
     234435 |        780        0.01       95.45
     351425 |        778        0.01       95.46
     632015 |        777        0.01       95.47
     517405 |        772        0.01       95.49
     711320 |        771        0.01       95.50
     992105 |        766        0.01       95.51
     241010 |        765        0.01       95.53
     142530 |        762        0.01       95.54
     723215 |        756        0.01       95.55
      31205 |        753        0.01       95.56
     783205 |        753        0.01       95.58
     321210 |        751        0.01       95.59
     711130 |        744        0.01       95.60
     253405 |        743        0.01       95.61
     342115 |        742        0.01       95.63
     919105 |        738        0.01       95.64
     510130 |        736        0.01       95.65
     342535 |        735        0.01       95.66
     772115 |        735        0.01       95.68
     991115 |        734        0.01       95.69
     766310 |        732        0.01       95.70
     782145 |        729        0.01       95.71
     391135 |        728        0.01       95.73
     811760 |        727        0.01       95.74
     991105 |        727        0.01       95.75
     513115 |        726        0.01       95.76
     123110 |        725        0.01       95.77
     234730 |        723        0.01       95.79
     212315 |        721        0.01       95.80
     311710 |        720        0.01       95.81
     123305 |        719        0.01       95.82
     374405 |        704        0.01       95.83
     317115 |        697        0.01       95.85
     811130 |        697        0.01       95.86
     992120 |        696        0.01       95.87
     422210 |        695        0.01       95.88
     261205 |        694        0.01       95.89
     783105 |        693        0.01       95.90
      31110 |        691        0.01       95.92
     415105 |        687        0.01       95.93
     242235 |        685        0.01       95.94
     354810 |        679        0.01       95.95
     223415 |        677        0.01       95.96
     254405 |        675        0.01       95.97
     761230 |        675        0.01       95.98
     821305 |        672        0.01       96.00
     821435 |        670        0.01       96.01
     214105 |        666        0.01       96.02
     720210 |        659        0.01       96.03
     731180 |        659        0.01       96.04
     821205 |        657        0.01       96.05
     731305 |        652        0.01       96.06
     622305 |        648        0.01       96.07
     261125 |        647        0.01       96.08
     761430 |        646        0.01       96.10
     524305 |        644        0.01       96.11
     234410 |        642        0.01       96.12
     780105 |        642        0.01       96.13
     784125 |        642        0.01       96.14
     354820 |        636        0.01       96.15
     715725 |        636        0.01       96.16
     253120 |        634        0.01       96.17
     374110 |        632        0.01       96.18
     212310 |        631        0.01       96.19
     510110 |        629        0.01       96.20
     766230 |        626        0.01       96.21
     221105 |        623        0.01       96.22
     373105 |        617        0.01       96.23
     353230 |        616        0.01       96.24
     766320 |        615        0.01       96.25
     318810 |        614        0.01       96.26
     318705 |        613        0.01       96.27
     516335 |        613        0.01       96.28
     725015 |        612        0.01       96.30
     782705 |        609        0.01       96.31
     242305 |        607        0.01       96.32
     351410 |        605        0.01       96.33
     622310 |        605        0.01       96.34
     421115 |        603        0.01       96.35
     516205 |        601        0.01       96.36
     352310 |        598        0.01       96.37
     253210 |        597        0.01       96.38
     225140 |        594        0.01       96.39
